epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2017.56,0.94263,1.14969,1.08219,0.59386,0.57349,0.60439,0.33823,1.68608,2.0195,1.5671,0.000175867,0.000175867,0.000175867
43,2070.43,1.03524,1.11198,1.09629,0.59474,0.54296,0.59012,0.33784,1.69527,2.00172,1.58711,0.000171449,0.000171449,0.000171449
44,2121.06,0.9357,1.13233,1.08739,0.55425,0.54701,0.59587,0.3413,1.69546,1.97934,1.59427,0.000167031,0.000167031,0.000167031
45,2180.22,0.99033,1.07699,1.08678,0.63929,0.51391,0.60392,0.34897,1.70253,1.98263,1.58708,0.000162613,0.000162613,0.000162613
46,2232.24,0.94982,1.12613,1.08424,0.63269,0.52054,0.56535,0.33089,1.69005,2.007,1.56307,0.000158196,0.000158196,0.000158196
47,2277.9,1.03444,1.16486,1.14016,0.54332,0.54269,0.56349,0.32739,1.69605,2.09441,1.57096,0.000153778,0.000153778,0.000153778
48,2320.52,1.00714,1.09608,1.08158,0.56972,0.55517,0.57213,0.33019,1.6751,2.12943,1.56677,0.00014936,0.00014936,0.00014936
49,2361.83,0.95101,1.10683,1.09108,0.57808,0.58405,0.57996,0.33684,1.63547,2.09641,1.54103,0.000144942,0.000144942,0.000144942
50,2404.56,0.95955,1.09729,1.08591,0.54767,0.58714,0.57686,0.33494,1.62661,2.04199,1.54236,0.000140524,0.000140524,0.000140524
51,2514.87,0.97107,1.16675,1.10047,0.56908,0.56464,0.58761,0.33831,1.63533,2.01875,1.54925,0.000136106,0.000136106,0.000136106
52,2550.81,0.95319,1.06926,1.07701,0.61481,0.54512,0.57956,0.34371,1.62908,2.047,1.54122,0.000131688,0.000131688,0.000131688
53,2591.26,0.96585,1.04819,1.08028,0.65515,0.52701,0.58633,0.35069,1.60988,2.03499,1.51872,0.000127271,0.000127271,0.000127271
54,2647.82,0.922,1.07083,1.06043,0.65088,0.52982,0.5986,0.35905,1.60906,1.98853,1.51849,0.000122853,0.000122853,0.000122853
55,2696.81,0.95376,1.0724,1.09558,0.62833,0.52605,0.59429,0.35489,1.62108,1.99906,1.51959,0.000118435,0.000118435,0.000118435
56,2744.55,0.98669,1.06616,1.08088,0.62291,0.52177,0.60363,0.35345,1.64428,2.00465,1.54081,0.000114017,0.000114017,0.000114017
57,2788.9,0.90421,0.98447,1.05975,0.64267,0.50776,0.59073,0.34512,1.64447,1.98431,1.54125,0.000109599,0.000109599,0.000109599
58,2833.94,0.91855,1.01011,1.05084,0.57999,0.53365,0.59544,0.34471,1.65852,1.93757,1.55866,0.000105181,0.000105181,0.000105181
59,2878.34,0.95124,1.03192,1.07369,0.67783,0.50574,0.58652,0.33262,1.65934,1.94305,1.57076,0.000100763,0.000100763,0.000100763
60,2924.65,0.93821,0.99771,1.0409,0.62956,0.50083,0.58173,0.33591,1.68224,1.95452,1.59657,9.63454e-05,9.63454e-05,9.63454e-05
61,2967.08,0.89982,0.96739,1.05114,0.69858,0.49535,0.58701,0.33829,1.68499,1.97114,1.60095,9.19275e-05,9.19275e-05,9.19275e-05
62,3008.95,0.91001,1.01404,1.07293,0.69962,0.49129,0.57995,0.33726,1.68852,1.97745,1.6075,8.75096e-05,8.75096e-05,8.75096e-05
63,3050.19,0.86472,0.96274,1.04159,0.54178,0.58052,0.58015,0.34302,1.67887,1.99185,1.59793,8.30917e-05,8.30917e-05,8.30917e-05
64,3091.48,0.91054,0.98576,1.05298,0.58414,0.56606,0.59158,0.34849,1.66935,1.98938,1.5893,7.86739e-05,7.86739e-05,7.86739e-05
